original,closest_match
"['<s>', 'friendly,', 'organized', '</s>']","['<s>', 'organized,', 'clean,', 'friendly,', 'selection', 'thanks', '</s>']"
"['<s>', 'bad,', 'diner,', 'neighborhood', '</s>']","['<s>', 'neighborhood,', 'bad,', 'customers', '</s>']"
"['<s>', 'family,', 'quick,', 'good', 'value', '</s>']","['<s>', 'quick,', 'great', 'cut,', 'good', 'value', '</s>']"
"['<s>', 'not,', 'never', '</s>']","['<s>', 'never', 'return,', 'not', '</s>']"
"['<s>', 'mall', 'food', '</s>']","['<s>', 'worse,', 'food,', 'mall', '</s>']"
"['<s>', 'options,', 'sweet', '</s>']","['<s>', 'great', 'sweet', 'treats,', 'awesome', '</s>']"
"['<s>', 'not,', 'puppy', '</s>']","['<s>', 'not,', 'puppy', 'mill', 'dogs', '</s>']"
"['<s>', 'best', 'dive', 'bar', '</s>']","['<s>', '<empty>', '</s>']"
"['<s>', 'perfect,', 'table,', 'comfortable', '</s>']","['<s>', 'seats,', 'comfortable,', 'sound,', 'perfect', '</s>']"
"['<s>', 'nice', 'atmosphere', '</s>']","['<s>', 'nice,', 'atmosphere', '</s>']"
"['<s>', 'best,', 'food,', 'great', 'price,', 'fantastic', 'selection', '</s>']","['<s>', 'fantastic', 'food,', 'great', 'price', '</s>']"
"['<s>', 'hurry', '</s>']","['<s>', 'staring,', 'hurry', '</s>']"
"['<s>', 'back', '</s>']","['<s>', 'went', 'back,', 'weekend', '</s>']"
"['<s>', 'wrong', '</s>']","['<s>', 'wrong,', 'filter', '</s>']"
"['<s>', 'fed,', 'useless', '</s>']","['<s>', 'fed,', 'manager', '</s>']"
"['<s>', 'terrible', '</s>']","['<s>', 'food,', 'terrible', '</s>']"
"['<s>', 'worst', '</s>']","['<s>', 'hotel,', 'worst,', 'felt', '</s>']"
"['<s>', 'menu', '</s>']","['<s>', 'menu,', 'nothing', 'healthy', '</s>']"
"['<s>', 'sucked', '</s>']","['<s>', 'sucked,', 'walked,', 'door', '</s>']"
"['<s>', 'service,', 'quality', '</s>']","['<s>', 'impressed,', 'service,', 'quality', 'food', '</s>']"
"['<s>', 'apparently', '</s>']","['<s>', 'apparently,', 'too', '</s>']"
"['<s>', 'halfway,', 'burger,', 'returns', '</s>']","['<s>', 'stopped,', 'fire,', 'burger', '</s>']"
"['<s>', 'taste,', 'filler', '</s>']","['<s>', 'frozen', '""nt""', 'taste', '</s>']"
"['<s>', 'relieved', '</s>']","['<s>', 'spell', '</s>']"
"['<s>', 'pizza', '</s>']","['<s>', 'pizza,', 'cold', '</s>']"
"['<s>', 'wrong', '</s>']","['<s>', 'wrong,', 'filter', '</s>']"
"['<s>', 'atmosphere', '</s>']","['<s>', 'worse,', 'atmosphere', '</s>']"
"['<s>', 'food,', 'underwhelming', '</s>']","['<s>', 'underwhelming,', 'food,', 'not', '</s>']"
"['<s>', 'friend', 'recommended,', 'area', '</s>']","['<s>', 'plumbing', 'company,', 'recommended,', 'friend', '</s>']"
"['<s>', 'great', 'authentic,', 'food,', 'service,', 'feels', 'home', '</s>']","['<s>', 'great', 'service,', 'excellent', 'food,', 'home', 'filling', '</s>']"
"['<s>', 'no', '</s>']","['<s>', 'no', 'food', '</s>']"
"['<s>', 'fresh,', 'store', '</s>']","['<s>', 'store,', 'items,', 'clean,', 'fresh', '</s>']"
"['<s>', 'dipped,', 'dressing', '</s>']","['<s>', 'dressing', '</s>']"
"['<s>', 'spicy', 'tuna,', 'tasty', '</s>']","['<s>', 'spicy', 'tuna', 'roll,', 'great,', '!', '</s>']"
"['<s>', 'amazing', 'experience', '</s>']","['<s>', 'experience,', 'food,', 'amazing,', '!', '</s>']"
"['<s>', 'raw', 'dough', '</s>']","['<s>', 'pizza,', 'not,', 'dough,', 'raw', '</s>']"
"['<s>', 'amazing,', 'great', 'wine', 'selection', '</s>']","['<s>', 'good', 'food,', 'great', 'wine', 'selection', '</s>']"
"['<s>', 'waited,', 'disgusted,', 'walked', '</s>']","['<s>', 'waited,', 'workers', 'walked', '</s>']"
"['<s>', 'fish,', 'awesome', 'too', '</s>']","['<s>', 'food,', 'awesome', 'inside,', 'too', '</s>']"
"['<s>', 'negative', '</s>']","['<s>', 'negative', 'star', '</s>']"
"['<s>', 'food,', 'not', '</s>']","['<s>', 'disappointment,', 'poor,', 'food,', 'not', '</s>']"
"['<s>', 'shop', '</s>']","['<s>', 'easy,', 'shop,', 'aisles', '</s>']"
"['<s>', 'great', '</s>']","['<s>', 'great', 'deli,', 'grocery', '</s>']"
"['<s>', 'replaced', '</s>']","['<s>', 'burger,', 'wrong,', 'replaced', '</s>']"
"['<s>', 'amazing', 'food,', 'outstanding,', 'favorite', 'destination', '</s>']","['<s>', 'food,', 'amazing,', 'favorite,', '!', '</s>']"
"['<s>', 'great', '</s>']","['<s>', 'great', 'deli,', 'grocery', '</s>']"
"['<s>', 'not', '</s>']","['<s>', 'not,', 'returning', '</s>']"
"['<s>', 'appetizing,', 'sounds', '</s>']","['<s>', 'appetizing,', 'food', '</s>']"
"['<s>', 'pleasantly', 'surprised', '</s>']","['<s>', 'pleasantly', 'surprised,', 'options', '</s>']"
"['<s>', 'neighborhood', '</s>']","['<s>', 'great', 'little,', 'food,', 'neighborhood', '</s>']"
"['<s>', 'loving,', 'best', '</s>']","['<s>', 'family,', 'best', '</s>']"
"['<s>', 'caring', '</s>']","['<s>', 'extremely', 'caring,', 'dedicated', '</s>']"
"['<s>', 'horrible', 'service', '</s>']","['<s>', '<empty>', '</s>']"
"['<s>', 'cold', '</s>']","['<s>', 'food,', 'disgusting,', 'raw', 'chicken,', 'cold,', 'soggy', '</s>']"
"['<s>', 'great', 'service', '</s>']","['<s>', 'great,', 'service', '</s>']"
"['<s>', 'lively,', 'atmosphere', 'really', 'sets,', 'apart', '</s>']","['<s>', 'really,', 'gravy,', 'sets,', 'delight', 'apart', '</s>']"
"['<s>', 'perfect', '</s>']","['<s>', 'perfect,', 'menu,', 'great', 'deal', '</s>']"
"['<s>', 'interaction,', 'caused', '</s>']","['<s>', 'family', 'emergency', 'caused', '</s>']"
"['<s>', 'women,', 'life', '</s>']","['<s>', 'wonderful', 'musical,', 'women,', 'journey', 'life', '</s>']"
"['<s>', 'solid', '</s>']","['<s>', 'mothers,', 'sweet,', 'solid', 'service', '</s>']"
"['<s>', 'great', 'service', '</s>']","['<s>', 'great,', 'service', '</s>']"
"['<s>', 'shopping', '</s>']","['<s>', 'love', 'shopping', '</s>']"
"['<s>', 'excellent,', 'quick,', 'friendly', '</s>']","['<s>', 'excellent', 'coffee,', 'quick,', 'friendly', '</s>']"
"['<s>', 'love,', 'hospital', '</s>']","['<s>', 'love,', 'love,', 'animal', 'hospital', '</s>']"
"['<s>', 'awesome', 'too', '</s>']","['<s>', 'awesome,', 'too', '</s>']"
"['<s>', 'friendly', 'service,', 'fast', '</s>']","['<s>', 'fast', 'friendly', 'service', '</s>']"
"['<s>', 'fried', 'outer', 'shell,', 'chicken', '</s>']","['<s>', 'fried,', 'meal,', 'chicken', 'fried', '</s>']"
"['<s>', 'wrong', '</s>']","['<s>', 'wrong,', 'filter', '</s>']"
"['<s>', 'baked', '</s>']","['<s>', 'entree,', 'baked', 'potato', '</s>']"
"['<s>', 'miles', '</s>']","['<s>', 'miles,', 'worth,', 'drive', '</s>']"
"['<s>', 'never', '</s>']","['<s>', 'never,', 'spot', '</s>']"
"['<s>', 'wish', '</s>']","['<s>', 'wish,', 'returning', '</s>']"
"['<s>', 'wrong', '</s>']","['<s>', 'wrong,', 'filter', '</s>']"
"['<s>', 'always', 'good', 'good', '</s>']","['<s>', 'food,', 'always', 'good', '</s>']"
"['<s>', 'food,', 'always', 'delicious,', 'perfection', '</s>']","['<s>', 'food,', 'always', 'delicious', '</s>']"
"['<s>', 'try,', 'soup,', 'tasty,', 'warm', '</s>']","['<s>', 'try,', 'soup', '</s>']"
"['<s>', 'unbelievable', '</s>']","['<s>', 'unbelievable,', 'incompetent,', 'company', 'claims', '</s>']"
"['<s>', 'equally,', 'exceptional', '</s>']","['<s>', 'line,', 'exceptional,', 'service', '</s>']"
"['<s>', 'job', '</s>']","['<s>', 'rude', 'hostess,', 'lose,', 'job', '</s>']"
"['<s>', 'definitely', 'worth,', 'trip', '</s>']","['<s>', 'definitely', 'worth,', 'unexpected,', 'trip', '</s>']"
"['<s>', 'highly', 'recommend,', 'team', '</s>']","['<s>', 'highly', 'recommend,', 'wonderful', 'husband,', 'wife', 'team', '</s>']"
"['<s>', 'nails,', 'messy', '</s>']","['<s>', 'messy', '</s>']"
"['<s>', 'style,', 'hair', '</s>']","['<s>', 'hair', 'style', '</s>']"
"['<s>', 'amazing,', '!', '</s>']","['<s>', 'place', 'is', 'amazing,', '!', '</s>']"
"['<s>', 'great', 'food,', 'nice', '</s>']","['<s>', 'food', 'tastes', 'fresh,', 'nice', 'portions,', 'great', 'variety', '</s>']"
"['<s>', 'pie,', 'mediocre', '</s>']","['<s>', 'trap,', 'mediocre', 'pie', '</s>']"
"['<s>', 'no,', 'whatsoever', '</s>']","['<s>', 'enterprise,', 'premises,', 'no,', 'whatsoever', '</s>']"
"['<s>', 'dreadful', '</s>']","['<s>', 'drab', 'smelly', 'dreadful', '</s>']"
"['<s>', 'rip', '</s>']","['<s>', 'club,', 'rip', '</s>']"
"['<s>', 'quick,', 'job', '</s>']","['<s>', 'guys,', 'quick,', 'great', 'job', '</s>']"
"['<s>', 'flavor', '</s>']","['<s>', 'pleased,', 'food,', 'flavor,', 'authentic', '</s>']"
"['<s>', 'delicious', 'orange', 'chicken', '</s>']","['<s>', 'orange', 'chicken,', 'delicious', '</s>']"
"['<s>', 'horrible', '</s>']","['<s>', 'horrible,', 'location', '</s>']"
"['<s>', 'lady', '</s>']","['<s>', 'lady,', 'rude', '</s>']"
"['<s>', 'sadly,', 'happened', '</s>']","['<s>', 'happened', 'sadly', '</s>']"
"['<s>', 'sneaky', '</s>']","['<s>', 'terrible', '</s>']"
"['<s>', 'amazing', 'plates', '</s>']","['<s>', 'portions,', 'plates,', 'generous,', 'amazing', '</s>']"
"['<s>', 'baked,', 'scratch,', 'delicious', '</s>']","['<s>', 'selection,', 'baked', 'goods', 'delicious', '</s>']"
"['<s>', 'too,', 'portions', '</s>']","['<s>', 'too', 'hard,', 'small', 'portions', '</s>']"
"['<s>', 'food,', 'very', 'good', '</s>']","['<s>', 'family,', 'food,', 'very', 'good,', '!', '</s>']"
"['<s>', 'smooth,', 'easy,', 'convenient', '</s>']","['<s>', 'super', 'easy,', 'fast,', 'convenient', '</s>']"
"['<s>', 'wife', 'loves', '</s>']","['<s>', 'wife', 'loves,', 'are,', 'absolute', 'favorite', '</s>']"
"['<s>', 'star', '</s>']","['<s>', 'hate,', 'star', '</s>']"
"['<s>', 'disaster', '</s>']","['<s>', 'spare,', 'disaster', '</s>']"
"['<s>', 'friendly', '</s>']","['<s>', 'extremely', 'friendly', '</s>']"
"['<s>', 'great', 'ice', 'tea', '</s>']","['<s>', 'great', 'place,', 'awesome', 'food,', 'ice', 'tea', '</s>']"
"['<s>', 'star', '</s>']","['<s>', 'hate,', 'star', '</s>']"
"['<s>', 'run,', 'smoky', '</s>']","['<s>', 'place,', 'run', '</s>']"
"['<s>', 'amazing', '</s>']","['<s>', 'place', 'is', 'amazing,', '!', '</s>']"
"['<s>', 'sorry', '</s>']","['<s>', 'sorry,', 'signs', '</s>']"
"['<s>', 'strange,', 'window,', 'terrible', 'food', '</s>']","['<s>', 'food,', 'strange,', 'terrible', '</s>']"
"['<s>', 'not', '</s>']","['<s>', 'not,', 'returning', '</s>']"
"['<s>', 'building,', 'box', 'crafted,', 'wood', '</s>']","['<s>', 'box', 'building', 'stores,', 'good', '</s>']"
"['<s>', 'food,', 'horrible', '</s>']","['<s>', 'horrible,', 'food,', 'bland', '</s>']"
"['<s>', 'great,', 'flat', '</s>']","['<s>', 'great', 'for', 'eating', '</s>']"
"['<s>', 'food,', 'food', '</s>']","['<s>', 'worst', 'food', '</s>']"
"['<s>', 'wedding,', 'service,', 'wedding', '</s>']","['<s>', 'unnecessary', 'stress,', 'wedding', '</s>']"
"['<s>', 'wife,', 'love,', 'here', '</s>']","['<s>', 'wife,', 'love,', 'here,', '!', '</s>']"
"['<s>', 'coffee,', 'great,', '!', '</s>']","['<s>', 'good', 'food,', 'great', 'coffee,', 'decent', 'price', '</s>']"
"['<s>', 'poor', 'lighting', '</s>']","['<s>', 'lighting,', 'poor,', 'lose', '</s>']"
"['<s>', 'friendly', '</s>']","['<s>', 'extremely', 'friendly', '</s>']"
"['<s>', 'nasty', '</s>']","['<s>', 'chicken,', 'nasty', '</s>']"
"['<s>', 'food,', 'no', 'flavor', 'whatsoever', '</s>']","['<s>', 'no,', 'flavor', 'whatsoever', '</s>']"
"['<s>', 'terrible', '</s>']","['<s>', 'food,', 'terrible', '</s>']"
"['<s>', 'one', 'of,', 'best', '</s>']","['<s>', 'is', 'one', 'of,', 'best', '</s>']"
"['<s>', 'quick,', 'friendly', '</s>']","['<s>', 'friendly,', 'quick', '</s>']"
"['<s>', 'waste', '</s>']","['<s>', 'disappointing', 'food,', 'waste', '</s>']"
"['<s>', 'eat', '</s>']","['<s>', 'eat,', 'not', '</s>']"
"['<s>', 'love,', 'place,', '!', '</s>']","['<s>', 'absolutely', 'love,', 'place', '</s>']"
"['<s>', 'bring,', 'food', '</s>']","['<s>', 'bring,', 'friends,', 'authentic', 'delicious', 'food', '</s>']"
"['<s>', 'ugly,', 'skin,', 'okay', '</s>']","['<s>', 'okay,', 'minimal,', 'skin', '</s>']"
"['<s>', 'dressed,', 'juice', '</s>']","['<s>', 'sandwich,', 'dressed,', 'tasty', 'dressing', '</s>']"
"['<s>', 'do', 'not,', 'artist', '</s>']","['<s>', 'do', 'not,', 'hotel', '</s>']"
"['<s>', 'dog,', 'treat', 'bag', '</s>']","['<s>', 'dog', 'treat', '</s>']"
"['<s>', 'wedding,', 'guests', '</s>']","['<s>', 'unnecessary', 'stress,', 'wedding', '</s>']"
"['<s>', 'there', '</s>']","['<s>', 'horrible,', 'there', '</s>']"
"['<s>', 'went', '</s>']","['<s>', 'went', 'back,', 'weekend', '</s>']"
"['<s>', 'thank', '</s>']","['<s>', 'thank', 'you,', 'incredible', 'job', '</s>']"
"['<s>', 'courtesy', '</s>']","['<s>', 'courtesy,', 'lacking', '</s>']"
"['<s>', 'hopefully,', 'nothing', '</s>']","['<s>', 'nothing', '</s>']"
"['<s>', 'food,', 'really', 'fresh', '</s>']","['<s>', 'really', 'enjoy,', 'food,', 'always', 'fresh', 'delicious', '</s>']"
"['<s>', 'guys', 'are', 'great,', '!', '</s>']","['<s>', 'guys', 'are', 'great', '</s>']"
"['<s>', 'fresh,', 'tasty', '</s>']","['<s>', 'pizza,', 'fresh,', 'tasty', '</s>']"
"['<s>', 'favorite', 'places,', 'food', '</s>']","['<s>', 'is', 'one,', 'favorite', 'places,', 'food', '</s>']"
"['<s>', 'brother,', 'girlfriend,', 'baby', 'shower', '</s>']","['<s>', 'baby', 'shower', '</s>']"
"['<s>', '""d""', '</s>']","['<s>', 'terrible', '</s>']"
"['<s>', 'perfect', 'flavor', '</s>']","['<s>', 'nice', 'flavor,', 'dry,', 'perfect', 'grease', 'level', '</s>']"
"['<s>', 'is,', 'closest,', 'house', '</s>']","['<s>', 'unfortunately,', 'is,', 'closest', 'location,', 'ice', 'cream', 'house', '</s>']"
"['<s>', 'register', '</s>']","['<s>', 'walks,', 'closer,', 'register', '</s>']"
"['<s>', 'fabulous,', 'rolls,', 'head', '</s>']","['<s>', 'fabulous', 'service,', 'well', 'crafted,', 'rolls', '</s>']"
"['<s>', 'great', 'choice', '</s>']","['<s>', 'great', 'choice,', 'shop', 'food', '</s>']"
"['<s>', 'parking', '</s>']","['<s>', 'parking,', 'horrible', '</s>']"
"['<s>', 'garage', '</s>']","['<s>', 'parking', 'garage', '</s>']"
"['<s>', 'best', 'one', '</s>']","['<s>', 'one,', 'best,', 'shop', '</s>']"
"['<s>', 'took,', 'back', '</s>']","['<s>', 'back', '</s>']"
"['<s>', 'casual', 'atmosphere,', 'football', '</s>']","['<s>', 'service,', 'fantastic,', 'atmosphere,', 'super', 'clean,', 'upscale', 'casual', '</s>']"
"['<s>', 'mother', 'dough,', 'bad', '</s>']","['<s>', 'bad,', 'mother', '</s>']"
"['<s>', 'plan,', 'impressed', '</s>']","['<s>', 'impressed,', 'planning', '</s>']"
"['<s>', 'not', '</s>']","['<s>', 'not,', 'returning', '</s>']"
"['<s>', 'quality,', 'friendly', '</s>']","['<s>', 'friendly,', 'good', 'quality', '</s>']"
"['<s>', 'always', 'stellar', '</s>']","['<s>', 'always,', 'stellar', '</s>']"
"['<s>', 'gas', 'station,', 'nice', 'convenience', '</s>']","['<s>', 'nice', 'car', 'wash,', 'gas', 'station', 'well', '</s>']"
"['<s>', 'place,', 'enjoy', '</s>']","['<s>', 'enjoy,', 'place', '</s>']"
"['<s>', 'mini', 'train', 'museum,', 'best,', 'place', '</s>']","['<s>', 'nice', 'place,', 'kids,', 'train', 'museum', '</s>']"
"['<s>', 'iced', 'coffee,', 'good,', '...,', 'coffee', 'drinker', '</s>']","['<s>', 'delicious', 'iced,', 'coffee', 'good', '</s>']"
"['<s>', 'lunch,', 'ruined', '</s>']","['<s>', 'literally', 'ruined,', 'night', '</s>']"
"['<s>', 'poor,', 'worst', 'food', '</s>']","['<s>', 'worst,', 'poor,', 'food', '</s>']"
"['<s>', 'mom,', 'biscuit', '</s>']","['<s>', 'mom,', 'walker', '</s>']"
"['<s>', 'food,', 'bland', '</s>']","['<s>', 'bland', 'food', '</s>']"
"['<s>', 'cake', '</s>']","['<s>', 'tier', 'cake', '</s>']"
"['<s>', 'not,', 'ticket,', 'name', '</s>']","['<s>', 'not', '</s>']"
"['<s>', 'worst,', 'earth', '</s>']","['<s>', 'worst,', 'planet', 'earth', '</s>']"
"['<s>', 'beautiful', '</s>']","['<s>', 'beautiful', 'scenery,', 'spectacular,', 'mountain', '</s>']"
"['<s>', 'coffee,', 'pleasantly', 'surprised', 'options', '</s>']","['<s>', 'pleasantly', 'surprised,', 'options', '</s>']"
"['<s>', 'fresh', '</s>']","['<s>', 'fresh,', 'authentic', '</s>']"
"['<s>', 'great,', 'food,', 'friendly', '</s>']","['<s>', 'great', 'food,', 'friendly,', 'try', '</s>']"
"['<s>', 'far,', 'good,', '!', '</s>']","['<s>', 'far,', 'food,', 'good,', '!', '</s>']"
"['<s>', 'so', 'happy', '</s>']","['<s>', 'shot,', 'so', 'happy', '</s>']"
"['<s>', 'definitely', 'made,', 'choice', '</s>']","['<s>', 'made,', 'right', 'choice', '</s>']"
"['<s>', 'love,', 'food', '</s>']","['<s>', 'love,', 'food', 'kitchen', '</s>']"
"['<s>', 'wonderfully', 'warm', 'personality', '</s>']","['<s>', 'very', 'warm', 'personality', '</s>']"
"['<s>', 'air', '</s>']","['<s>', 'air,', 'barely,', 'room', '</s>']"
"['<s>', 'great', 'glass,', 'wine', '</s>']","['<s>', 'absolute,', 'great', 'glass,', 'wine', '</s>']"
"['<s>', 'good', 'place,', 'quick', '</s>']","['<s>', 'good', 'place,', 'quick', 'drink,', 'bite', '</s>']"
"['<s>', 'eat,', 'soggy', '</s>']","['<s>', 'eat,', 'cold,', 'soggy', '</s>']"
"['<s>', 'ridiculous', '</s>']","['<s>', 'noise,', 'ridiculous', '</s>']"
"['<s>', 'rude', '</s>']","['<s>', 'rude,', 'tasteless', 'food', '</s>']"
"['<s>', 'regret', '</s>']","['<s>', 'awful,', 'regret', '</s>']"
"['<s>', 'refused', '</s>']","['<s>', 'mein,', 'refused', '</s>']"
"['<s>', 'mediocre', '</s>']","['<s>', 'awful,', 'food,', 'mediocre', '</s>']"
"['<s>', 'cute', '</s>']","['<s>', 'bill,', 'so', 'cute,', 'sweet,', 'amazing', 'artist', '</s>']"
"['<s>', 'wish,', 'star', '</s>']","['<s>', 'star', '</s>']"
"['<s>', 'loud', '</s>']","['<s>', 'loud', 'voice,', 'no', '</s>']"
"['<s>', 'never', 'eat,', 'ownership', '</s>']","['<s>', 'never', 'eat,', 'bad', '</s>']"
"['<s>', 'most', 'amazing', '</s>']","['<s>', 'is,', 'most', 'amazing', '</s>']"
"['<s>', 'table', '</s>']","['<s>', 'eating,', 'table', '</s>']"
"['<s>', 'husband,', 'menu', '</s>']","['<s>', 'walk,', 'menu,', 'bar,', 'lunch', '</s>']"
"['<s>', 'recommend', '</s>']","['<s>', 'highly', 'recommend,', 'place', '</s>']"
"['<s>', 'exceptional', '</s>']","['<s>', 'quality,', 'food,', 'exceptional', '</s>']"
"['<s>', 'helped,', 'prescription', 'filled', 'smile', '</s>']","['<s>', 'waited,', 'helped,', 'smile', '</s>']"
"['<s>', 'dish', '</s>']","['<s>', 'dish,', 'bland,', 'tasteless', '</s>']"
"['<s>', 'love,', 'place', '</s>']","['<s>', 'absolutely', 'love,', 'place', '</s>']"
"['<s>', 'love,', 'store', '</s>']","['<s>', 'plus,', 'store,', 'love,', 'about', '</s>']"
"['<s>', 'cars', '</s>']","['<s>', 'great', 'selection,', 'cars,', 'cars', '</s>']"
"['<s>', 'family', 'very', 'friendly', '</s>']","['<s>', 'family', 'friendly', 'very', 'clean', 'nice', 'place,', 'cut', '</s>']"
"['<s>', 'elsewhere,', 'flower', 'arrangements', '</s>']","['<s>', 'elsewhere', '</s>']"
"['<s>', 'is,', 'best,', 'office', '</s>']","['<s>', 'office', 'is,', 'best', '</s>']"
"['<s>', 'sorry,', 'not', '</s>']","['<s>', 'sorry', 'not', '</s>']"
"['<s>', 'walking,', 'tube,', 'water', '</s>']","['<s>', 'water', '""nt""', '</s>']"
"['<s>', 'love,', 'bar,', 'variety,', 'nuts', '</s>']","['<s>', 'love,', 'bar', '</s>']"
"['<s>', 'repeated', '</s>']","['<s>', 'drive,', 'repeated', '</s>']"
"['<s>', 'excited,', 'back', '</s>']","['<s>', 'excited,', 'back,', 'place', '</s>']"
"['<s>', 'horrible,', 'food', '</s>']","['<s>', 'horrible,', 'food,', 'bland', '</s>']"
"['<s>', 'love,', 'store', '</s>']","['<s>', 'plus,', 'store,', 'love,', 'about', '</s>']"
"['<s>', 'horrible', 'treatment,', 'car', 'wash', '</s>']","['<s>', 'horrible', 'job,', 'car', 'wash', '</s>']"
"['<s>', 'cold,', 'cold', '</s>']","['<s>', 'food,', 'disgusting,', 'raw', 'chicken,', 'cold,', 'soggy', '</s>']"
"['<s>', 'complex,', 'clean,', 'quiet', '</s>']","['<s>', 'quiet,', 'clean,', 'nice', '</s>']"
"['<s>', 'fun,', 'exciting,', 'kids', '</s>']","['<s>', 'good,', 'clean', 'fun,', 'kids,', 'ages', '</s>']"
"['<s>', 'go', 'back', '</s>']","['<s>', 'place', 'is', 'great,', 'go', 'back', '</s>']"
"['<s>', 'tons,', 'new,', 'bikes,', 'great,', '!', '</s>']","['<s>', 'new,', 'great', '</s>']"
"['<s>', 'die', '</s>']","['<s>', 'seems,', 'die', '</s>']"
"['<s>', 'not', '</s>']","['<s>', 'not,', 'returning', '</s>']"
"['<s>', 'diner', '</s>']","['<s>', 'food,', 'diner', 'food,', 'forgettable', '</s>']"
"['<s>', 'car', '</s>']","['<s>', 'car,', 'good', '</s>']"
"['<s>', 'gross', 'ingredients,', 'barely', '</s>']","['<s>', 'water,', 'barely', '</s>']"
"['<s>', 'great', 'beer', 'selection', '</s>']","['<s>', 'super', 'friendly,', 'great', 'beer', 'selection', '</s>']"
"['<s>', 'highly', 'recommend,', 'place,', 'lunch,', 'dinner', '</s>']","['<s>', 'highly', 'recommend,', 'place,', 'lunch', '</s>']"
"['<s>', 'happy', '</s>']","['<s>', 'happy', 'eats', '</s>']"
"['<s>', 'highly', 'recommend,', 'business', '</s>']","['<s>', 'future', 'business,', 'highly', 'recommend', '</s>']"
"['<s>', 'apology', '</s>']","['<s>', 'apology,', 'serving,', 'vacation,', 'nothing', '</s>']"
"['<s>', 'stars', '</s>']","['<s>', 'stars,', 'portions', '</s>']"
"['<s>', 'nails', 'trimmed', '</s>']","['<s>', 'dog,', 'nails', 'trimmed', '</s>']"
"['<s>', 'pizza,', 'very', 'delicious', '</s>']","['<s>', 'pizza,', 'is', 'very', 'delicious,', '!', '</s>']"
"['<s>', 'steak,', 'bit', 'dry', '</s>']","['<s>', 'steak,', 'bit', 'dry,', 'overcooked,', 'flavor', 'delicate', '</s>']"
"['<s>', 'always', 'great,', 'food', '</s>']","['<s>', 'always', 'great', 'food', '</s>']"
"['<s>', 'rip', '</s>']","['<s>', 'club,', 'rip', '</s>']"
"['<s>', 'place,', 'star', '</s>']","['<s>', 'sorry,', 'star,', 'place', '</s>']"
"['<s>', 'meal,', 'not', '</s>']","['<s>', 'loss,', 'not,', 'dollar', 'meal', '</s>']"
"['<s>', 'bar', '</s>']","['<s>', 'love,', 'bar', '</s>']"
"['<s>', 'place,', 'star', '</s>']","['<s>', 'sorry,', 'star,', 'place', '</s>']"
"['<s>', 'kind', '</s>']","['<s>', 'favorite,', 'kind,', 'food', '</s>']"
"['<s>', 'disappointed,', 'hungry', '</s>']","['<s>', 'needless,', 'hungry', 'disappointed', '</s>']"
"['<s>', 'partner,', 'dinner', '</s>']","['<s>', 'dinner', 'partner,', 'chicken', '</s>']"
"['<s>', 'impressed,', 'great', 'value', '</s>']","['<s>', 'great', 'wall,', 'excellent', 'value', '</s>']"
"['<s>', 'stopped,', 'sandwich,', 'beer,', 'game', '</s>']","['<s>', 'stopped,', 'baseball', 'game', '</s>']"
"['<s>', 'friend,', 'spicy,', 'better', '</s>']","['<s>', 'friend,', 'spicy,', 'rainbow', 'roll', '</s>']"
"['<s>', 'great', 'store', '</s>']","['<s>', 'store,', 'great', '</s>']"
"['<s>', 'atmosphere,', 'casual,', 'food,', 'tasty', 'reasonable', '</s>']","['<s>', 'tasty', 'food,', 'casual', 'atmosphere', '</s>']"
"['<s>', 'does,', 'animals', '</s>']","['<s>', 'animals', 'seemed,', 'happy', '</s>']"
"['<s>', 'love', '</s>']","['<s>', 'fell,', 'love,', 'atmosphere', 'great', '</s>']"
"['<s>', 'slow', '</s>']","['<s>', 'bomb,', 'slow', '</s>']"
"['<s>', 'beverage,', 'empty', '</s>']","['<s>', 'empty', '</s>']"
"['<s>', 'hot,', 'plus', '</s>']","['<s>', 'plus,', 'stuck,', 'hot,', 'pizza', '</s>']"
"['<s>', 'is,', 'solid', 'hot', 'dog', '</s>']","['<s>', 'is,', 'best', 'hot', 'dog', '</s>']"
"['<s>', 'beautifully,', 'absolutely', 'delicious', '</s>']","['<s>', 'fresh,', 'absolutely', 'delicious', '</s>']"
"['<s>', 'star', 'experience', '</s>']","['<s>', 'stay,', 'star', 'experience', '</s>']"
"['<s>', 'went', '</s>']","['<s>', 'went', 'back,', 'weekend', '</s>']"
"['<s>', 'absolutely', 'love,', 'place', '</s>']","['<s>', 'absolutely', 'love', 'this', 'place,', '!', '</s>']"
"['<s>', 'fabulous,', 'facial', '</s>']","['<s>', 'facial,', 'fabulous,', '!', '</s>']"
"['<s>', 'great', 'food,', 'excellent', '</s>']","['<s>', 'excellent,', 'food,', 'great', 'service,', 'friendly', '</s>']"
"['<s>', 'memories,', 'fond', '</s>']","['<s>', 'fond', 'memories,', 'place,', 'kid', '</s>']"
"['<s>', 'underwhelming', '</s>']","['<s>', 'dry,', 'underwhelming', '</s>']"
"['<s>', 'hole,', 'wall', '</s>']","['<s>', 'hole,', 'wall,', 'crack', '</s>']"
"['<s>', 'popcorn,', 'always', 'amazing,', 'fresh', '</s>']","['<s>', 'amazing,', 'meat', 'fresh,', 'always', 'tasty', '</s>']"
